service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
178@3,0,0,0,0,0,0,1,20160819,20161119
C80@1,1,1,1,1,1,0,0,20160819,20161119
A09@3,0,0,0,0,0,0,1,20160819,20161119
2541@5,0,0,0,0,0,0,0,20160819,20161119
250@1,1,1,1,1,1,0,0,20160819,20161119
253@1,1,1,1,1,1,0,0,20160819,20161119
2441@3,0,0,0,0,0,0,1,20160819,20161119
178@2,0,0,0,0,0,1,0,20160819,20161119
179@3,0,0,0,0,0,0,1,20160819,20161119
184@3,0,0,0,0,0,0,1,20160819,20161119
282@2,0,0,0,0,0,1,0,20160819,20161119
282@5,0,0,0,0,0,0,0,20160819,20161119
10.3@5,0,0,0,0,0,0,0,20160819,20161119
T4@1,1,1,1,1,1,0,0,20160819,20161119
20.6@3,0,0,0,0,0,0,1,20160819,20161119
209@2,0,0,0,0,0,1,0,20160819,20161119
262@5,0,0,0,0,0,0,0,20160819,20161119
2631@3,0,0,0,0,0,0,1,20160819,20161119
173@1,1,1,1,1,1,0,0,20160819,20161119
177@2,0,0,0,0,0,1,0,20160819,20161119
195@3,0,0,0,0,0,0,1,20160819,20161119
20.5@2,0,0,0,0,0,1,0,20160819,20161119
216@2,0,0,0,0,0,1,0,20160819,20161119
216@5,0,0,0,0,0,0,0,20160819,20161119
188@1,1,1,1,1,1,0,0,20160819,20161119
20.2@2,0,0,0,0,0,1,0,20160819,20161119
178@5,0,0,0,0,0,0,0,20160819,20161119
C80@5,0,0,0,0,0,0,0,20160819,20161119
A14@2,0,0,0,0,0,1,0,20160819,20161119
A14@5,0,0,0,0,0,0,0,20160819,20161119
177@5,0,0,0,0,0,0,0,20160819,20161119
M79@2,0,0,0,0,0,1,0,20160819,20161119
20.6@1,1,1,1,1,1,0,0,20160819,20161119
A15@1,1,1,1,1,1,0,0,20160819,20161119
A141@2,0,0,0,0,0,1,0,20160819,20161119
A141@5,0,0,0,0,0,0,0,20160819,20161119
209@1,1,1,1,1,1,0,0,20160819,20161119
210@1,1,1,1,1,1,0,0,20160819,20161119
R101@3,0,0,0,0,0,0,1,20160819,20161119
M10@2,0,0,0,0,0,1,0,20160819,20161119
M79@1,1,1,1,1,1,0,0,20160819,20161119
2821@2,0,0,0,0,0,1,0,20160819,20161119
216@1,1,1,1,1,1,0,0,20160819,20161119
111@1,1,1,1,1,1,0,0,20160819,20161119
20.2@5,0,0,0,0,0,0,0,20160819,20161119
T12A@1,1,1,1,1,1,0,0,20160819,20161119
209@5,0,0,0,0,0,0,0,20160819,20161119
110@1,1,1,1,1,1,0,0,20160819,20161119
T12A@3,0,0,0,0,0,0,1,20160819,20161119
M10@5,0,0,0,0,0,0,0,20160819,20161119
165@3,0,0,0,0,0,0,1,20160819,20161119
286@3,0,0,0,0,0,0,1,20160819,20161119
149@5,0,0,0,0,0,0,0,20160819,20161119
A19@3,0,0,0,0,0,0,1,20160819,20161119
M79@5,0,0,0,0,0,0,0,20160819,20161119
184@1,1,1,1,1,1,0,0,20160819,20161119
2701@2,0,0,0,0,0,1,0,20160819,20161119
165@2,0,0,0,0,0,1,0,20160819,20161119
T12A@2,0,0,0,0,0,1,0,20160819,20161119
T12A@5,0,0,0,0,0,0,0,20160819,20161119
214@1,1,1,1,1,1,0,0,20160819,20161119
255@3,0,0,0,0,0,0,1,20160819,20161119
255@5,0,0,0,0,0,0,0,20160819,20161119
256@2,0,0,0,0,0,1,0,20160819,20161119
1871@1,1,1,1,1,1,0,0,20160819,20161119
02.1@1,1,1,1,1,1,0,0,20160819,20161119
284@3,0,0,0,0,0,0,1,20160819,20161119
289@2,0,0,0,0,0,1,0,20160819,20161119
272@1,1,1,1,1,1,0,0,20160819,20161119
A871@1,1,1,1,1,1,0,0,20160819,20161119
2541@1,1,1,1,1,1,0,0,20160819,20161119
2602@2,0,0,0,0,0,1,0,20160819,20161119
176@2,0,0,0,0,0,1,0,20160819,20161119
176@5,0,0,0,0,0,0,0,20160819,20161119
A19@1,1,1,1,1,1,0,0,20160819,20161119
177@1,1,1,1,1,1,0,0,20160819,20161119
2843@1,1,1,1,1,1,0,0,20160819,20161119
A841@1,1,1,1,1,1,0,0,20160819,20161119
2571@3,0,0,0,0,0,0,1,20160819,20161119
266@2,0,0,0,0,0,1,0,20160819,20161119
180@2,0,0,0,0,0,1,0,20160819,20161119
2822@1,1,1,1,1,1,0,0,20160819,20161119
20.6@2,0,0,0,0,0,1,0,20160819,20161119
20.6@5,0,0,0,0,0,0,0,20160819,20161119
2821@5,0,0,0,0,0,0,0,20160819,20161119
186@1,1,1,1,1,1,0,0,20160819,20161119
M10@3,0,0,0,0,0,0,1,20160819,20161119
2571@1,1,1,1,1,1,0,0,20160819,20161119
149@1,1,1,1,1,1,0,0,20160819,20161119
244@2,0,0,0,0,0,1,0,20160819,20161119
1101@5,0,0,0,0,0,0,0,20160819,20161119
A17@1,1,1,1,1,1,0,0,20160819,20161119
2541@3,0,0,0,0,0,0,1,20160819,20161119
2601@3,0,0,0,0,0,0,1,20160819,20161119
R4@1,1,1,1,1,1,0,0,20160819,20161119
A17@2,0,0,0,0,0,1,0,20160819,20161119
A74@1,1,1,1,1,1,0,0,20160819,20161119
272@2,0,0,0,0,0,1,0,20160819,20161119
244@5,0,0,0,0,0,0,0,20160819,20161119
282@1,1,1,1,1,1,0,0,20160819,20161119
